,CP18-0194,CP18-0198,CP18-0270,CP18-0283,CP18-0372,CP18-0397,CP18-0489,CP18-0515,CP18-0517,CP18-0644,CP18-0651,CP18-0661,CP18-0869,CP18-0966,CP18-0968,CP18-0991,CP18-0994,CP18-1008,CP18-1015,CP18-1039,CP18-1041,CP18-1042,CP18-1043,CP18-1176,CP18-1182,CP18-1324,CP18-1330,CP18-1342,CP18-1387,CP18-1394,CP18-1395,CP18-1417,CP18-1425,CP18-1576,CP18-1596,CP18-1611,CP18-1612,CP18-1618,CP18-1786,CP18-1884,CP18-1901 POL,CP18-1921 POL,HB 17-3183,HB 17-3208,HB 19-3031,XL16-002,XL16-188,XL17-211,XL17-226,XL16-326
CP18-1395,0.277562931,0.215872556,0.108657181,0.297462389,0.176095098,0.318518102,0.33490555,0.310265809,0.445610985,0.159665138,0.194171928,0.158291101,0.341184974,0.263582692,0.244817495,0.257766291,0.292099684,0.312965587,0.306847781,0.587522954,0.342411906,0.304589748,0.323646709,0.241340987,0.317687526,0.231607802,0.542785689,0.215753146,0.546460196,0.656304002,1.231307,0.42832306,0.35313417,0.509699985,0.393647209,0.307954341,0.287941456,0.20013085,0.486452036,0.486452036,0.249279261,0.080923326,0.142711945,0.126921073,0.232604422,0.217591301,0.357147843,0.231821373,0.147456944,0.311995149
CP18-1417,0.374371514,0.296937257,0.141304553,0.408857755,0.241654605,0.343578786,0.375244781,0.419698477,0.433065563,0.220271058,0.267505765,0.208187312,0.460184485,0.311443478,0.244594902,0.33253178,0.38840422,0.246737823,0.410942495,0.434113011,0.380910531,0.353715628,0.314061955,0.314518787,0.423291683,0.304514773,0.447920129,0.279631324,0.452210009,0.42832306,0.42832306,1.208398283,0.54729943,0.353773147,0.35256375,0.413287669,0.384713635,0.269725502,0.367721267,0.367721267,0.390784711,0.135070115,0.186124109,0.173838109,0.293010071,0.305180117,0.486774206,0.30095157,0.197902054,0.422016054
CP18-1425,0.346189931,0.282345563,0.125055164,0.380741023,0.226929873,0.306182727,0.33398515,0.379808486,0.363922715,0.204697154,0.238930479,0.179257959,0.424243405,0.275406457,0.212049343,0.296110705,0.35098289,0.18547079,0.373165399,0.397247866,0.344895691,0.415574133,0.281538576,0.282434441,0.382450491,0.273683168,0.410580203,0.250966839,0.412771508,0.35313417,0.35313417,0.54729943,1.150811732,0.316573367,0.279203016,0.373699218,0.349476755,0.245040685,0.334786616,0.334786616,0.361991435,0.173696756,0.163659241,0.148177139,0.286747783,0.32682623,0.448339611,0.264133275,0.189130917,0.388877749
CP18-1576,0.242947057,0.185032517,0.105543733,0.256555177,0.145227164,0.280941844,0.305256516,0.287761122,0.322330669,0.148605011,0.198421985,0.166512966,0.285161421,0.249618478,0.451204605,0.241373584,0.275400862,0.2336808,0.299576864,0.495319039,0.29337576,0.253612116,0.494961888,0.223370187,0.295333683,0.24088981,0.476394296,0.203437366,0.494633406,0.509699985,0.509699985,0.353773147,0.316573367,1.122923732,0.308816854,0.312853307,0.29197064,0.188659489,0.425313465,0.425313465,0.225683808,0.079836503,0.140140381,0.129332833,0.278866015,0.212615386,0.301561475,0.244766086,0.14123933,0.28759563
CP18-1596,0.284451663,0.217635676,0.116588324,0.293368567,0.174454734,0.306827124,0.303192042,0.309013285,0.390391748,0.178279065,0.201002274,0.160608001,0.351230793,0.271108575,0.234883629,0.306713112,0.310946837,0.265925925,0.309392396,0.346343685,0.335965097,0.277251776,0.299740151,0.279166948,0.338896938,0.296726067,0.333623748,0.251216847,0.362600919,0.50861986,0.393647209,0.35256375,0.279203016,0.308816854,1.124149255,0.356456056,0.340804279,0.197614782,0.289545536,0.289545536,0.170584731,0.086287815,0.153443366,0.122525916,0.245563496,0.243857332,0.350696228,0.28512416,0.160616554,0.311827108
CP18-1611,0.38846463,0.302324176,0.144752085,0.407150686,0.251948237,0.347123414,0.358225852,0.413367689,0.403669,0.206271321,0.238261908,0.193788707,0.475328356,0.308320388,0.264669165,0.356618732,0.443881124,0.207968622,0.462287545,0.35303998,0.397077352,0.332670689,0.353426129,0.329699814,0.487804294,0.509230077,0.371971726,0.285776645,0.427964658,0.307954341,0.307954341,0.413287669,0.373699218,0.312853307,0.356456056,1.197865844,0.595539361,0.319902599,0.285662442,0.285662442,0.23783493,0.089107662,0.185877107,0.149955258,0.29328993,0.277152359,0.485649526,0.328276217,0.195773274,0.431476295
CP18-1612,0.373252913,0.294501096,0.134318173,0.389085144,0.243607491,0.328681633,0.326476857,0.382216007,0.388259858,0.195085943,0.211370192,0.168120801,0.460529506,0.299061686,0.253310874,0.34745048,0.377826512,0.251857519,0.447277203,0.331157431,0.382300705,0.318992212,0.336549893,0.316756628,0.419240758,0.493055232,0.511493593,0.275342382,0.40594992,0.287941456,0.287941456,0.384713635,0.349476755,0.29197064,0.340804279,0.595539361,1.179725349,0.254320681,0.265613355,0.265613355,0.218352884,0.082944043,0.171637535,0.134749308,0.276741229,0.265407041,0.463341296,0.307468548,0.195845187,0.521921694
CP18-1618,0.244420797,0.195028007,0.089552939,0.260962591,0.161471426,0.218111455,0.237836182,0.269973516,0.258374304,0.126495704,0.155895859,0.376167595,0.310839683,0.192682192,0.155024394,0.224057823,0.40844503,0.132651299,0.320310146,0.232562065,0.252423406,0.216715842,0.214765608,0.202191249,0.430565834,0.192738608,0.243911982,0.180070445,0.244592845,0.20013085,0.20013085,0.269725502,0.245040685,0.188659489,0.197614782,0.319902599,0.254320681,1.035331011,0.182329908,0.182329908,0.157658935,0.057019174,0.179160304,0.224121615,0.189464867,0.172241658,0.312984824,0.198404312,0.125900298,0.281368017
CP18-1786,0.280844226,0.201440513,0.124996081,0.284108408,0.163976133,0.369061492,0.288356297,0.294663802,0.328229621,0.373239256,0.188827619,0.154478833,0.312114619,0.254876021,0.211456854,0.264052324,0.276056983,0.205444954,0.277928323,0.479867175,0.304202713,0.257304102,0.260783546,0.461633392,0.305072829,0.442223005,0.460688204,0.432617545,0.463186346,0.486452036,0.486452036,0.367721267,0.334786616,0.425313465,0.289545536,0.285662442,0.265613355,0.182329908,1.102127865,0.637297854,0.235151142,0.083889246,0.148358578,0.12525392,0.22716105,0.223566011,0.327750519,0.231565922,0.145799004,0.276979312
CP18-1884,0.280844226,0.201440513,0.124996081,0.284108408,0.163976133,0.369061492,0.288356297,0.294663802,0.328229621,0.373239256,0.188827619,0.154478833,0.312114619,0.254876021,0.211456854,0.264052324,0.276056983,0.205444954,0.277928323,0.479867175,0.304202713,0.257304102,0.260783546,0.461633392,0.305072829,0.442223005,0.460688204,0.432617545,0.463186346,0.486452036,0.486452036,0.367721267,0.334786616,0.425313465,0.289545536,0.285662442,0.265613355,0.182329908,0.637297854,1.102127865,0.235151142,0.083889246,0.148358578,0.12525392,0.22716105,0.223566011,0.327750519,0.231565922,0.145799004,0.276979312
CP18-1901 POLY,0.213651538,0.1630373,0.081101537,0.237550184,0.139760971,0.194471627,0.216238976,0.24063313,0.224612832,0.110875472,0.141023889,0.11776638,0.268385291,0.17389223,0.13422215,0.180847377,0.220685601,0.111902326,0.234162539,0.279794216,0.216293305,0.190772682,0.176623225,0.171650231,0.241691202,0.167793959,0.285710067,0.15064463,0.289225817,0.249279261,0.249279261,0.390784711,0.361991435,0.225683808,0.170584731,0.23783493,0.218352884,0.157658935,0.235151142,0.235151142,1,0.054626778,0.101565659,0.100993723,0.151177809,0.140637457,0.279873848,0.165073544,0.094342232,0.242565334
